,year,metrodiv_title,county_name,CoC_Code,coc_name,Pop_Type,Pop_Size
1179,2017,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,155
1180,2018,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,179
1181,2009,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,370
1182,2010,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,474
1183,2011,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,464
1184,2012,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,450
1185,2013,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,497
1186,2014,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,409
1187,2015,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,386
1188,2016,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,299
1189,2017,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,228
1190,2018,"Lake County-Kenosha County, IL-WI",Lake County,IL-502,"Waukegan, North Chicago/Lake County CoC",overall_homeless,277
1191,2009,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,340
1192,2010,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,389
1193,2011,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,353
1194,2012,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,291
1195,2013,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,288
1196,2014,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,309
1197,2015,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,340
1198,2016,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,290
1199,2017,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,282
1200,2018,Chicago-Naperville-Evanston,Will County,IL-506,"Joliet, Bolingbrook/Will County CoC",overall_homeless,341
1201,2009,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,115
1202,2010,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,118
1203,2011,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,160
1204,2012,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,125
1205,2013,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,107
1206,2014,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,96
1207,2015,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,101
1208,2016,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,81
1209,2017,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,90
1210,2018,Elgin,DeKalb County,IL-509,Dekalb City & County CoC,overall_homeless,100
1211,2009,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1378
1212,2010,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1390
1213,2011,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1257
1214,2012,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1242
1215,2013,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1242
1216,2014,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,1182
1217,2015,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,895
1218,2016,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,952
1219,2017,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,780
1220,2018,Chicago-Naperville-Evanston,Cook County,IL-511,Cook County CoC,overall_homeless,873
1221,2009,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,695
1222,2010,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,712
1223,2011,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,676
1224,2012,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,641
1225,2013,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,665
1226,2014,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,654
1227,2015,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,672
1228,2016,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,555
